Radio Hex Data Log - COM7 @ 115200 baud
Started: 2026-01-05 17:12:02
[2026-01-05 17:23:31.676] 80009bc8b1755f03
[2026-01-05 17:23:32.654] 81110012e0884900108141af33330017821010c8af2b5a9c
[2026-01-05 17:23:39.194] 81110018e0882b000b8100000000002300002fe088355fda
[2026-01-05 17:23:41.783] 81
[2026-01-05 17:23:41.793] 110011e0882b000e810000000008178600b4c8b15c5f1c
[2026-01-05 17:23:44.750] 81110004e0882b00098100000000002012205ce088335f32
[2026-01-05 17:23:46.672] 81110015e0884900058100000000002403002de0882941
[2026-01-05 17:23:46.693] ac
[2026-01-05 17:23:50.587] 81110015e08849000181000000000020010023c8aeba2a20
[2026-01-05 17:23:52.208] 81110011e0882b000f81000000000824060042e087e9287c
[2026-01-05 17:23:54.022] 81110015e0882b000281000000000015800098c8b14c3eb3
[2026-01-05 17:24:01.039] 81110012e0882b00078100000000002303002ec8ae905f41
[2026-01-05 17:24:10.204] 81110015e0882b000d8100000000082306003fc8afc0467b
[2026-01-05 17:24:16.242] 81110015e08849000c8100000000100b8600aec8b2175fcc
[2026-01-05 17:24:27.623] 81110011e088490017810000000008270680cdc8b1bc2574
[2026-01-05 17:24:27.897] 81110015e0882b0006810000000010178600b4c8b1794822
[2026-01-05 17:24:28.054] 8111000ee08849000a8100000000000b800096e085f8525b
[2026-01-05 17:24:28.316] 81110007e0884900148140c0000020270780e3c8b1bc209b
[2026-01-05 17:24:29.500] 81110017e0882b00088100000000001680009fc8b13c1487
[2026-01-05 17:24:30.233] 81120012e0882b00088700000000001afde8000ec8b13c0c5d
[2026-01-05 17:24:31.545] 81110012e0884900048100000000001680009bc8b1755f03
[2026-01-05 17:24:32.618] 8111000fe0884900108141af33330017
[2026-01-05 17:24:32.629] 821010c8af2b5799
[2026-01-05 17:24:34.501] 81110000e0882b000b8100
[2026-01-05 17:24:34.511] 000000002300002fe088355ad5
[2026-01-05 17:24:39.249] 81110013e0882b00098100000000002012205ce088335f32
[2026-01-05 17:24:41.073] 8111000fe0884900058100000000002403002de0882946b1
[2026-01-05 17:24:41.659] 81110014e0882b000e810000000008178600b4c8b15c5f1c
[2026-01-05 17:24:47.127] 81110015e0882b000f81000000000824060042e087e92d81
[2026-01-05 17:24:49.318] 81110017e08849000181000000000020010023c8aeba3228
[2026-01-05 17:24:54.883] 81110013e0882b000281000000000015800098c8b14c52c7
[2026-01-05 17:24:55.071] 81110013e0882b00078100000000002303002ec8ae905f41
[2026-01-05 17:25:05.627] 811100ffe0882b000d8100000000082306003fc8afc03267
[2026-01-05 17:25:16.208] 81110016e08849000c8100000000100b8600aec8b21748b5
[2026-01-05 17:25:27.711] 8111000fe08849000a8100000000000b800096e085f85f68
[2026-01-05 17:25:27.890] 8111000fe0882b0006810000000010178600b4c8b1795a34
[2026-01-05 17:25:29.348] 81110014e0882b00088100000000001680009fc8b13c077a
[2026-01-05 17:25:29.808] 81110013e0882b000b8100000000002300002fe088355fda
[2026-01-05 17:25:31.602] 811100fbe0884900048100000000001680009bc8b1755f03
[2026-01-05 17:25:32.336] 81110016e0884900108141af33330017821010c8af2b5799
[2026-01-05 17:25:33.753] 81110015e0882b00098100000000002112205de088335f34
[2026-01-05 17:25:36.041] 8111000fe0884900
[2026-01-05 17:25:36.052] 058100000000002403002de0882950bb
[2026-01-05 17:25:41.863] 81110008e0882b000e81000000
[2026-01-05 17:25:41.873] 0008178600b4c8b15c5f1c
[2026-01-05 17:25:47.517] 81110013e08849000181000000000020010023c8aeba4137
[2026-01-05 17:25:49.692] 81110019e0882b00078140000000002303006ec8ae905fc1
[2026-01-05 17:25:55.462] 8111001be0882b000281000000
[2026-01-05 17:25:55.483] 000015800098c8b14c3cb1
[2026-01-05 17:26:00.718] 81110012e0882b000d81000000
[2026-01-05 17:26:00.739] 00082306003fc8afc03c71
[2026-01-05 17:26:16.284] 81110014e08849000c8100000000100b8600aec8b21741ae
[2026-01-05 17:26:24.663] 81110016e0882b000b8100000000002300002fe088355fda
[2026-01-05 17:26:27.522] 81110015e0882b00098100000000002012205ce088335f32
[2026-01-05 17:26:27.689] 81110016e08849000a8100000000000b800096e085f85a63
[2026-01-05 17:26:28.263] 81110012e0882b0006810000000010178600b4c8b1794822
[2026-01-05 17:26:29.091] 81110018e0884900058100000000002303002ce08829329b
[2026-01-05 17:26:29.764] 81110016e0882b00088100000000001680009fc8b13c1184
[2026-01-05 17:26:30.655] 81120015e08849000587000000000019fde8000ae088294166
[2026-01-05 17:26:31.471] 8111000be0884900048100000000001680009bc8b1755f03
[2026-01-05 17:26:32.592] 8111000fe0884900108141af33330017821010c8af2b5092
[2026-01-05 17:26:34.828] 8111
[2026-01-05 17:26:34.849] 000de0882b000f81000000000824060042e087e91b6f
[2026-01-05 17:26:42.212] 81110015e0882b000e810000000008178600b4c8b15c5f1c
[2026-01-05 17:26:43.811] 8111000de0882b00078100000000002303002ec8ae905f41
[2026-01-05 17:26:46.864] 81110017e08849000181000000000020010023c8aeba3e34
[2026-01-05 17:26:55.830] 81110013e0882b000d8100000000082306003fc8afc03c71
[2026-01-05 17:26:56.407] 81110011e0882b000281000000000015800098c8b14c5acf
[2026-01-05 17:27:16.023] 8111000be08849000c8100
[2026-01-05 17:27:16.044] 000000100b8600aec8b2175fcc
[2026-01-05 17:27:21.152] 81110017e0882b000b8100000000002300002fe088355fda
[2026-01-05 17:27:21.519] 81110003e0882b00098100000000002012205ce088335f32
[2026-01-05 17:27:22.884] 81110003e088490016810000000008270680ccc8b1bc3481
[2026-01-05 17:27:23.356] 81110016e088490017810000000008270680cdc8b1bc2574
[2026-01-05 17:27:23.474] 81110016e08849
[2026-01-05 17:27:23.484] 00058140000000002403006de088294d38
[2026-01-05 17:27:23.967] 81110016e0884900148140c0000020270780e3c8b1bc34af
[2026-01-05 17:27:27.663] 81110016e08849000a8100000000000b800096e085f85a63
[2026-01-05 17:27:28.313] 81110016e0882b0006810000000010178600b4c8b1794620
[2026-01-05 17:27:29.003] 81110010e0882b000f81000000000824060042e087e92a7e
[2026-01-05 17:27:29.528] 81110018e0882b00088100000000001680009fc8b13c077a
[2026-01-05 17:27:31.544] 81110016e0884900048100000000001680009bc8b1755f03
[2026-01-05 17:27:32.469] 81110007e0884900108141af33330017
[2026-01-05 17:27:32.490] 821010c8af2b5294
[2026-01-05 17:27:35.671] 81110015e0882b00078100000000002303002ec8ae905f41
[2026-01-05 17:27:42.370] 81110004e0
[2026-01-05 17:27:42.380] 882b000e810000000008178600b4c8b15c5f1c
[2026-01-05 17:27:43.660] 81110017e08849000181000000000020010023c8aeba392f
[2026-01-05 17:27:51.272] 81110002e0882b000d8100000000082306003fc8afc02a5f
[2026-01-05 17:27:56.881] 81110014e0882b000281000000000015800098c8b14c39ae
[2026-01-05 17:28:16.072] 81110015e0882b000b8100000000002300002f
[2026-01-05 17:28:16.093] e088355fda
