"Register Address
(Hexadecimal)"	Register Address (Decimal)	"

Data Description"				"

R/W"	Length (In Bits)
21E	542	Channel 30 Relay 2 On/Off				R/W	16
21F	543	Channel 31 Relay 2 On/Off				R/W	16
220	544	Channel 32 Relay 2 On/Off				R/W	16
221	545	Channel 1 Relay 2 Rise/Fall				R/W	16
222	546	Channel 2 Relay 2 Rise/Fall				R/W	16
223	547	Channel 3 Relay 2 Rise/Fall				R/W	16
224	548	Channel 4 Relay 2 Rise/Fall				R/W	16
225	549	Channel 5 Relay 2 Rise/Fall				R/W	16
226	550	Channel 6 Relay 2 Rise/Fall				R/W	16
227	551	Channel 7 Relay 2 Rise/Fall				R/W	16
228	552	Channel 8 Relay 2 Rise/Fall				R/W	16
229	553	Channel 9 Relay 2 Rise/Fall				R/W	16
22A	554	Channel 10 Relay 2 Rise/Fall				R/W	16
22B	555	Channel 11 Relay 2 Rise/Fall				R/W	16
22C	556	Channel 12 Relay 2 Rise/Fall				R/W	16
22D	557	Channel 13 Relay 2 Rise/Fall				R/W	16
22E	558	Channel 14 Relay 2 Rise/Fall				R/W	16
22F	559	Channel 15 Relay 2 Rise/Fall				R/W	16
230	560	Channel 16 Relay 2 Rise/Fall				R/W	16
231	561	Channel 17 Relay 2 Rise/Fall				R/W	16
232	562	Channel 18 Relay 2 Rise/Fall				R/W	16
233	563	Channel 19 Relay 2 Rise/Fall				R/W	16
234	564	Channel 20 Relay 2 Rise/Fall				R/W	16
235	565	Channel 21 Relay 2 Rise/Fall				R/W	16
236	566	Channel 22 Relay 2 Rise/Fall				R/W	16
237	567	Channel 23 Relay 2 Rise/Fall				R/W	16
238	568	Channel 24 Relay 2 Rise/Fall				R/W	16
239	569	Channel 25 Relay 2 Rise/Fall				R/W	16
23A	570	Channel 26 Relay 2 Rise/Fall				R/W	16
23B	571	Channel 27 Relay 2 Rise/Fall				R/W	16
23C	572	Channel 28 Relay 2 Rise/Fall				R/W	16
23D	573	Channel 29 Relay 2 Rise/Fall				R/W	16
23E	574	Channel 30 Relay 2 Rise/Fall				R/W	16
23F	575	Channel 31 Relay 2 Rise/Fall				R/W	16
240	576	Channel 32 Relay 2 Rise/Fall				R/W	16
241	577	Channel 1 Relay 2 Set Point				R/W	32
243	579	Channel 2 Relay 2 Set Point				R/W	32
245	581	Channel 3 Relay 2 Set Point				R/W	32
247	583	Channel 4 Relay 2 Set Point				R/W	32
249	585	Channel 5 Relay 2 Set Point				R/W	32
24B	587	Channel 6 Relay 2 Set Point				R/W	32
24D	589	Channel 7 Relay 2 Set Point				R/W	32
24F	591	Channel 8 Relay 2 Set Point				R/W	32
251	593	Channel 9 Relay 2 Set Point				R/W	32
253	595	Channel 10 Relay 2 Set Point				R/W	32
255	597	Channel 11 Relay 2 Set Point				R/W	32
257	599	Channel 12 Relay 2 Set Point				R/W	32
259	601	Channel 13 Relay 2 Set Point				R/W	32
25B	603	Channel 14 Relay 2 Set Point 				R/W	32
25D	605	Channel 15 Relay 2 Set Point				R/W	32
25F	607	Channel 16 Relay 2 Set Point				R/W	32
261	609	Channel 17 Relay 2 Set Point				R/W	32
263	611	Channel 18 Relay 2 Set Point				R/W	32
265	613	Channel 19 Relay 2 Set Point				R/W	32
267	615	Channel 20 Relay 2 Set Point				R/W	32
269	617	Channel 21 Relay 2 Set Point				R/W	32
26B	619	Channel 22 Relay 2 Set Point				R/W	32
26D	621	Channel 23 Relay 2 Set Point 				R/W	32
26F	623	Channel 24 Relay 2 Set Point				R/W	32
271	625	Channel 25 Relay 2 Set Point				R/W	32
273	627	Channel 26 Relay 2 Set Point				R/W	32
275	629	Channel 27 Relay 2 Set Point				R/W	32
277	631	Channel 28 Relay 2 Set Point				R/W	32
279	633	Channel 29 Relay 2 Set Point				R/W	32
27B	635	Channel 30 Relay 2 Set Point				R/W	32
27D	637	Channel 31 Relay 2 Set Point				R/W	32
27F	639	Channel 32 Relay 2 Set Point				R/W	32
281	641	Channel 1 Relay 2 Latch/Unlatch				R/W	16
282	642	Channel 2 Relay 2 Latch/Unlatch				R/W	16
283	643	Channel 3 Relay 2 Latch/Unlatch				R/W	16
284	644	Channel 4 Relay 2 Latch/Unlatch				R/W	16
285	645	Channel 5 Relay 2 Latch/Unlatch				R/W	16
286	646	Channel 6 Relay 2 Latch/Unlatch				R/W	16
287	647	Channel 7 Relay 2 Latch/Unlatch				R/W	16
288	648	Channel 8 Relay 2 Latch/Unlatch				R/W	16
289	649	Channel 9 Relay 2 Latch/Unlatch				R/W	16
28A	650	Channel 10 Relay 2 Latch/Unlatch				R/W	16
28B	651	Channel 11 Relay 2 Latch/Unlatch				R/W	16
28C	652	Channel 12 Relay 2 Latch/Unlatch				R/W	16
28D	653	Channel 13 Relay 2 Latch/Unlatch				R/W	16
28E	654	Channel 14 Relay 2 Latch/Unlatch				R/W	16
28F	655	Channel 15 Relay 2 Latch/Unlatch				R/W	16
290	656	Channel 16 Relay 2 Latch/Unlatch				R/W	16
291	657	Channel 17 Relay 2 Latch/Unlatch				R/W	16
292	658	Channel 18 Relay 2 Latch/Unlatch				R/W	16
293	659	Channel 19 Relay 2 Latch/Unlatch				R/W	16
294	660	Channel 20 Relay 2 Latch/Unlatch				R/W	16
295	661	Channel 21 Relay 2 Latch/Unlatch				R/W	16
296	662	Channel 22 Relay 2 Latch/Unlatch				R/W	16
297	663	Channel 23 Relay 2 Latch/Unlatch				R/W	16
298	664	Channel 24 Relay 2 Latch/Unlatch				R/W	16
299	665	Channel 25 Relay 2 Latch/Unlatch				R/W	16
29A	666	Channel 26 Relay 2 Latch/Unlatch				R/W	16
29B	667	Channel 27 Relay 2 Latch/Unlatch				R/W	16
29C	668	Channel 28 Relay 2 Latch/Unlatch				R/W	16
29D	669	Channel 29 Relay 2 Latch/Unlatch				R/W	16
29E	670	Channel 30 Relay 2 Latch/Unlatch				R/W	16
29F	671	Channel 31 Relay 2 Latch/Unlatch				R/W	16
2A0	672	Channel 32 Relay 2 Latch/Unlatch				R/W	16
2A1	673	Channel 1 Relay 3 On/Off				R/W	16
2A2	674	Channel 2 Relay 3 On/Off				R/W	16
2A3	675	Channel 3 Relay 3 On/Off				R/W	16
2A4	676	Channel 4 Relay 3 On/Off				R/W	16
2A5	677	Channel 5 Relay 3 On/Off				R/W	16
2A6	678	Channel 6 Relay 3 On/Off				R/W	16
2A7	679	Channel 7 Relay 3 On/Off				R/W	16
2A8	680	Channel 8 Relay 3 On/Off				R/W	16
